5.0013914,3.667687,7.198081
2.7654753,7.678607,5.1975245
2.3634026,7.6884136,5.903603
2.3045628,7.6884136,6.021283
0.5393657,6.1781893,5.9232163
-0.7649187,5.040618,5.79573
-1.0885382,4.7660317,5.76631
-1.1375713,4.7169986,5.76631
-2.2163029,2.8929617,3.80498
-2.490889,2.432049,3.3244543
-2.5301156,2.3634026,3.2361944
-0.7649187,2.0692031,1.4121575
0.56878567,1.8828768,0.06864655
0.79433864,1.8534569,-0.1569064
0.9610517,1.8338435,-0.32361946
3.6284604,2.1770763,-1.4023509
5.6192102,2.441856,-2.2163029
6.1193495,2.5105023,-2.4124358
7.953193,2.4614692,-2.1672697
9.257478,2.4124358,-1.9613299
9.48303,2.4124358,-1.93191
9.639936,2.4026291,-1.90249
11.473781,3.108708,-0.40207264
11.777786,3.2263877,-0.14709975
12.00334,3.3146477,0.02941995
12.042566,3.334261,0.06864655
17.632357,5.982056,3.3538742
19.034708,6.639102,4.177633
18.848381,6.590069,7.3157606
18.632635,6.5116153,8.806372
18.475729,6.4527755,9.934136
18.456116,6.442969,10.120462
15.54354,5.79573,13.023231
13.366464,5.3053975,15.13166
13.003617,5.2269444,15.4847
10.816734,5.119071,14.719781
9.816457,5.089651,14.239256
9.071151,5.060231,13.886216
8.875018,5.0504246,13.797956
7.198081,4.0403395,10.973641
5.9428296,3.2852278,8.855405
5.7270837,3.1577413,8.502365
5.570177,3.0596747,8.237586
3.383294,2.490889,3.9226599
3.0106416,2.3928225,3.1969678
2.7360554,2.3143694,2.657602
-0.9904716,0.8237586,-0.83356524
-1.6082906,0.56878567,-1.4219642
-2.0790098,0.38245934,-1.8632635
-1.9122967,-0.2157463,-3.7853668
-1.7946169,-0.5001391,-4.7169986
-1.6965504,-0.7256921,-5.403464
-1.6867437,-0.75511205,-5.521144
-0.60801226,-1.0983448,-4.9523582
-0.3334261,-1.1866046,-4.815065
-0.2941995,-1.2062179,-4.785645
2.0692031,-0.8139519,-3.9618864
3.246001,-0.60801226,-3.550007
4.1285996,-0.46091253,-3.2361944
4.3541527,-0.42168593,-3.167548
10.777508,1.1375713,-0.2549729
11.856239,1.3925443,0.22555295
12.385798,1.5298374,0.4707192
14.190222,1.6279038,5.7172766
15.3376,2.1476562,9.551677
15.523927,2.2359161,10.1989155
15.671026,2.3045628,10.679441
12.797678,3.2263877,12.768258
12.317152,3.383294,13.111491
11.954306,3.500974,13.37627
10.375436,3.4421341,12.591739
9.610517,3.4029074,12.179859
9.228058,3.383294,11.973919
8.943665,3.3734875,11.817013
7.7178335,2.1378496,10.434276
7.4138274,1.8240368,10.0910425
7.364794,1.7750036,10.032203
6.541035,1.3238977,8.933858
5.9428296,1.0002782,8.129713
